category_id,mission_id,experience
1,1,2
1,2,4
1,3,6
1,4,8
1,5,2
1,6,4
1,7,6
1,8,8
1,9,2
1,10,4
1,11,6
1,12,8
1,13,2
1,14,4
1,15,6
1,16,8
1,17,2
1,18,4
1,19,2
1,20,4
1,21,6
1,22,2
1,23,4
1,24,6
1,25,8
1,26,2
1,27,4
1,28,6
1,29,8
1,30,2
1,31,4
1,32,6
1,33,2
1,34,4
1,35,6
1,36,2
1,37,4
1,38,6
1,39,8
1,40,1
1,41,2
1,42,3
1,43,4
1,44,1
1,45,2
1,46,3
1,47,4
1,48,1
1,49,2
1,50,3
1,51,4
1,52,1
1,53,2
1,54,3
1,55,4
1,56,1
1,57,2
1,58,3
1,59,4
1,60,1
1,61,2
1,62,3
1,63,4
1,64,1
1,65,2
1,66,2
1,67,3
1,68,4
1,69,1
1,70,2
1,71,3
1,72,1
1,73,2
1,74,3
1,75,4
1,76,1
1,77,2
1,78,3
2,1,1
2,2,2
2,3,3
2,4,4
2,5,1
2,6,2
2,7,3
2,8,4
2,9,1
2,10,2
2,11,3
2,12,4
2,13,1
2,14,2
2,15,3
2,16,4
2,17,1
2,18,2
2,19,1
2,20,2
2,21,3
2,22,1
2,23,2
2,24,3
2,25,4
2,26,1
2,27,2
2,28,3
2,29,4
2,30,1
2,31,2
2,32,3
2,33,1
2,34,2
2,35,3
2,36,1
2,37,2
2,38,3
2,39,4
2,40,2
2,41,4
2,42,6
2,43,8
2,44,2
2,45,4
2,46,6
2,47,8
2,48,2
2,49,4
2,50,6
2,51,8
2,52,2
2,53,4
2,54,6
2,55,8
2,56,2
2,57,4
2,58,6
2,59,8
2,60,2
2,61,4
2,62,6
2,63,8
2,64,2
2,65,4
2,66,4
2,67,6
2,68,8
2,69,2
2,70,4
2,71,6
2,72,2
2,73,4
2,74,6
2,75,8
2,76,2
2,77,4
2,78,6
