category_id,description,level_id
1,おなかがすいたことをつたえる,1
1,食べたいものをつたえる,2
1,ほしいものをつたえる,3
1,のどがかわいたら、水をのむ,4
1,人に言われて、手をあらう,1
1,自分から手をあらう,2
1,ごはんの前に手をあらう,3
1,せっけんで手をあらい、ハンカチでふく,4
1,スプーンやフォークをつかう,1
1,しょっきをおさえて食べる,2
1,おはしをつかって食べる,3
1,しょっきをもちあげて、こぼさないで食べる,4
1,しょくじがおわるまで、すわっている,1
1,人に言われて、手や口をふく,2
1,ひじをつかないで食べる,3
1,こぼさないで食べる,4
1,人に言われて、しょくじのあいさつをする,1
1,自分からしょくじのあいさつをする,2
1,おやつを、きめられた分だけ食べる,1
1,おやつを、きめられた時間に食べる,2
1,おやつがほしいと言う,3
1,人に言われて、はな水をふく,1
1,人に言われて、はなをかむ,2
1,自分ではなをかむ,3
1,自分でしっかりとはなをかむ,4
1,口をふいてもらう,1
1,人に言われて口をふく,2
1,よごれたら自分で口をふく,3
1,しょくじの後に口をふく,4
1,人に言われてハンカチをつかう,1
1,自分からハンカチをつかう,2
1,ハンカチを自分で持ってきてつかう,3
1,よごれたら、きがえさせてもらう,1
1,よごれたら、てつだってもらいきがえる,2
1,よごれたら、自分一人できがえる,3
1,歩道のはじっこを歩く,1
1,車道にとび出さない,2
1,白線の内がわを歩く,3
1,車に気をつけて歩く,4
2,ゲームのかちまけがわかる,1
2,じゅんばんをまもって、ゲームをする,2
2,ゲームのルールをまもる,3
2,時間をきめてゲームをする,4
2,すきなどうぐであそぶ,1
2,いろいろなどうぐであそぶ,2
2,あそびどうぐのじゅんばんをまもる,3
2,体をうごかしてあそぶ,4
2,人に言われて、おもちゃをかたづける,1
2,自分でおもちゃをかたづける,2
2,言われたら、あそびをやめてかたづける,3
2,自分から、みんなのおもちゃをかたづける,4
2,みんなであそぶ時のルールがわかる,1
2,かわりばんこに、みんなであそぶ,2
2,人に言われて、みんなでなかよくあそぶ,3
2,自分からみんなとなかよくあそぶ,4
2,ごみをゴミばこにすてる,1
2,ぞうきんをしぼって、つくえをふく,2
2,言われたところをそうじする。,3
2,自分から、よごれたところをそうじする,4
2,しゃしんのところに、自分のものをおく,1
2,つかったら元のところにもどす,2
2,自分のものをかたづける,3
2,言われたとおりにかたづける,4
2,みんなといっしょに行どうする,1
2,交通ルールをまもる,2
2,外ではさわがない,2
2,じゅんばんをまもって、のりものにのる,3
2,時間とじゅんばんをまもる,4
2,おじぎをする,1
2,大人には「です」「ます」で話す,2
2,人に言われて、言い方をなおす,3
2,自分のものがわかる,1
2,ひとのものには、かってにさわらない,2
2,ひとのものをとらない,3
2,みんなでゆずりあってつかう,4
2,人に言われておれいを言う,1
2,大人の言うことをきく,2
2,しずかに話をきく,3
